ambulatory,breathing,pulse,follows_commands,decontaminated,hazard_type,tachypneic,prior_probability,correct_tag,kg_recommended,final_tag,correct,matches_kg,any_violation,n_actions
True,True,True,True,True,,False,0.058320,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,True,True,False,chemical,False,0.009720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,True,False,biological,False,0.009720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,True,False,radiological,False,0.009720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,True,False,nuclear,False,0.009720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,True,True,,True,0.006480,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,True,True,False,chemical,True,0.001080,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,True,False,biological,True,0.001080,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,True,False,radiological,True,0.001080,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,True,False,nuclear,True,0.001080,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,True,,False,0.038880,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,True,False,False,chemical,False,0.006480,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,False,biological,False,0.006480,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,False,radiological,False,0.006480,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,False,nuclear,False,0.006480,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,True,,True,0.004320,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,True,False,False,chemical,True,0.000720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,False,biological,True,0.000720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,False,radiological,True,0.000720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,True,False,False,nuclear,True,0.000720,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,True,,False,0.019440,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,False,True,False,chemical,False,0.003240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,False,biological,False,0.003240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,False,radiological,False,0.003240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,False,nuclear,False,0.003240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,True,,True,0.002160,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,False,True,False,chemical,True,0.000360,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,False,biological,True,0.000360,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,False,radiological,True,0.000360,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,True,False,nuclear,True,0.000360,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,True,,False,0.012960,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,False,False,False,chemical,False,0.002160,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,False,biological,False,0.002160,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,False,radiological,False,0.002160,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,False,nuclear,False,0.002160,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,True,,True,0.001440,tag_minor,tag_minor,tag_minor,True,True,False,1
True,True,False,False,False,chemical,True,0.000240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,False,biological,True,0.000240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,False,radiological,True,0.000240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,True,False,False,False,nuclear,True,0.000240,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,True,True,,False,0.016200,tag_minor,tag_minor,tag_minor,True,True,False,1
True,False,True,True,False,chemical,False,0.002700,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,True,False,biological,False,0.002700,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,True,False,radiological,False,0.002700,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,True,False,nuclear,False,0.002700,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,False,True,,False,0.010800,tag_minor,tag_minor,tag_minor,True,True,False,1
True,False,True,False,False,chemical,False,0.001800,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,False,False,biological,False,0.001800,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,False,False,radiological,False,0.001800,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,True,False,False,nuclear,False,0.001800,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,True,True,,False,0.005400,tag_minor,tag_minor,tag_minor,True,True,False,1
True,False,False,True,False,chemical,False,0.000900,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,True,False,biological,False,0.000900,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,True,False,radiological,False,0.000900,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,True,False,nuclear,False,0.000900,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,False,True,,False,0.003600,tag_minor,tag_minor,tag_minor,True,True,False,1
